Time,ID,Action,Weight (kg),Weight (g)
2020-01-08 17:50:23,000196,food added,,30.16
2020-01-08 17:50:29,000197,food added,,174.15
2020-01-08 17:53:33,,weight checked,16.840,
2020-01-08 17:54:53,000198,food added,,43.83
2020-01-08 17:58:32,000199,food added,,159.94
2020-01-08 17:58:34,,weight checked,17.022,
2020-01-08 17:58:40,000200,food added,,130.62
2020-01-08 17:59:01,000201,food added,,53.74
2020-01-08 18:02:26,000202,food added,,23.61
2020-01-08 18:03:08,000203,food added,,60.19
2020-01-08 18:03:34,,weight checked,17.230,
2020-01-08 18:04:05,000204,food added,,33.39
2020-01-08 18:04:07,000205,food added,,74.80
2020-01-08 18:08:35,,weight checked,17.332,
2020-01-08 18:08:40,000206,food added,,2255.45
2020-01-08 18:12:43,000207,food added,,292.82
2020-01-08 18:12:53,000208,food added,,171.98
2020-01-08 18:13:35,,weight checked,17.743,
2020-01-08 18:13:40,000209,food added,,2275.80
2020-01-08 18:14:02,000210,food added,,65.95
2020-01-08 18:14:20,000211,food added,,50.43
2020-01-08 18:18:14,000212,food added,,97.53
2020-01-08 18:18:36,,weight checked,17.959,
2020-01-08 18:18:45,000213,food added,,168.32
2020-01-08 18:23:36,,weight checked,18.097,
2020-01-08 18:24:32,000214,food added,,214.68
2020-01-08 18:24:46,000215,food added,,236.62
2020-01-08 18:25:20,000216,food added,,42.28
2020-01-08 18:25:26,000217,food added,,124.54
2020-01-08 18:25:31,000218,food added,,101.62
2020-01-08 18:27:00,000219,food added,,205.99
2020-01-08 18:28:36,,weight checked,18.999,
2020-01-08 18:30:13,000220,food added,,46.98
2020-01-08 18:30:24,000221,food added,,29.18
2020-01-08 18:32:11,000222,food added,,95.37
2020-01-08 18:32:25,000223,food added,,25.09
2020-01-08 18:33:37,,weight checked,19.197,
2020-01-08 18:33:40,000224,food added,,397.70
2020-01-08 18:34:09,000225,food added,,268.48
2020-01-08 18:35:07,000226,food added,,27.14
2020-01-08 18:36:23,000227,food added,,59.05
2020-01-08 18:37:28,000228,food added,,170.66
2020-01-08 18:38:37,,weight checked,20.011,
2020-01-08 18:41:18,000229,food added,,40.20
2020-01-08 18:42:13,000230,food added,,84.70
2020-01-08 18:43:38,,weight checked,20.147,
2020-01-08 18:44:10,000231,food added,,284.48
2020-01-08 18:48:38,,weight checked,20.410,
2020-01-08 18:49:48,000232,food added,,94.23
2020-01-08 18:50:55,000233,food added,,71.72
2020-01-08 18:53:39,,weight checked,20.585,
2020-01-08 18:54:10,000234,food added,,142.00
2020-01-08 18:54:32,000235,food added,,85.40
2020-01-08 18:54:39,000236,food added,,170.28
2020-01-08 18:54:47,000237,food added,,90.49
2020-01-08 18:55:23,000238,food added,,21.72
2020-01-08 18:56:10,000239,food added,,81.70
2020-01-08 18:56:47,000240,food added,,83.05
2020-01-08 18:57:32,000241,food added,,122.93
2020-01-08 18:58:13,000242,food added,,42.82
2020-01-08 18:58:19,000243,food added,,65.76
2020-01-08 18:58:39,,weight checked,21.441,
2020-01-08 18:59:47,000244,food added,,33.42
2020-01-08 18:59:58,000245,food added,,23.60
2020-01-08 19:00:15,000246,food added,,48.36
2020-01-08 19:00:31,000247,food added,,58.57
2020-01-08 19:03:40,,weight checked,21.583,
2020-01-08 19:08:40,,weight checked,21.576,
2020-01-08 19:09:09,000248,food added,,47.83
2020-01-08 19:11:53,000249,food added,,26.59
2020-01-08 19:11:57,000250,food added,,140.02
2020-01-08 19:12:06,000251,food added,,149.54
2020-01-08 19:13:00,000252,food added,,293.61
2020-01-08 19:13:41,,weight checked,22.189,
2020-01-08 19:14:25,000253,food added,,61.23
2020-01-08 19:18:41,,weight checked,22.208,
