Time,ID,Action,Weight (kg),Weight (g)
2019-12-02 12:27:08,000128,food added,,57.50
2019-12-02 12:27:14,000129,food added,,59.60
2019-12-02 12:27:32,000130,food added,,94.28
2019-12-02 12:27:47,,weight checked,5.422,
2019-12-02 12:28:57,000131,food added,,61.85
2019-12-02 12:29:20,000132,food added,,28.38
2019-12-02 12:29:35,000133,food added,,45.90
2019-12-02 12:29:42,000134,food added,,341.35
2019-12-02 12:30:02,000135,food added,,84.61
2019-12-02 12:31:12,000136,food added,,81.59
2019-12-02 12:31:18,000137,food added,,34.45
2019-12-02 12:31:37,000138,food added,,26.09
2019-12-02 12:32:48,,weight checked,6.049,
2019-12-02 12:35:44,000139,food added,,44.63
2019-12-02 12:36:07,000140,food added,,36.84
2019-12-02 12:36:45,000141,food added,,64.02
2019-12-02 12:36:53,000142,food added,,32.42
2019-12-02 12:37:48,,weight checked,6.223,
2019-12-02 12:40:53,000143,food added,,165.85
2019-12-02 12:41:02,000144,food added,,21.69
2019-12-02 12:41:13,000145,food added,,71.85
2019-12-02 12:41:47,000146,food added,,37.52
2019-12-02 12:41:58,000147,food added,,51.00
2019-12-02 12:42:50,,weight checked,6.659,
2019-12-02 12:43:30,000149,food added,,52.98
2019-12-02 12:44:25,000150,food added,,307.70
2019-12-02 12:45:23,000151,food added,,162.51
2019-12-02 12:45:37,000152,food added,,59.66
2019-12-02 12:46:53,000153,food added,,97.28
2019-12-02 12:47:09,000154,food added,,22.10
2019-12-02 12:47:49,,weight checked,7.310,
2019-12-02 12:48:06,000155,food added,,24.25
2019-12-02 12:48:08,000156,food added,,33.19
2019-12-02 12:48:25,000157,food added,,99.75
2019-12-02 12:49:22,000158,food added,,38.72
2019-12-02 12:50:03,000159,food added,,54.14
2019-12-02 12:51:53,000160,food added,,92.81
2019-12-02 12:52:50,,weight checked,7.697,
2019-12-02 12:54:08,000161,food added,,59.14
2019-12-02 12:54:18,000162,food added,,83.13
2019-12-02 12:55:59,000163,food added,,40.49
2019-12-02 12:56:39,000164,food added,,50.94
2019-12-02 12:57:00,000165,food added,,90.40
2019-12-02 12:57:19,000166,food added,,50.46
2019-12-02 12:57:33,000167,food added,,110.42
2019-12-02 12:57:50,,weight checked,8.455,
2019-12-02 12:58:50,000169,food added,,21.91
2019-12-02 12:58:58,000170,food added,,115.55
2019-12-02 12:59:46,000171,food added,,127.82
2019-12-02 13:01:17,000172,food added,,42.77
2019-12-02 13:01:29,000173,food added,,34.39
2019-12-02 13:02:23,000174,food added,,60.08
2019-12-02 13:02:51,,weight checked,8.888,
2019-12-02 13:03:21,000175,food added,,104.00
2019-12-02 13:05:02,000176,food added,,116.09
2019-12-02 13:07:20,000177,food added,,156.52
2019-12-02 13:07:27,000178,food added,,25.45
2019-12-02 13:07:51,,weight checked,9.307,
2019-12-02 13:08:31,000179,food added,,69.65
2019-12-02 13:10:08,000180,food added,,71.19
2019-12-02 13:11:29,000181,food added,,87.55
2019-12-02 13:12:52,,weight checked,9.538,
2019-12-02 13:13:51,000182,food added,,89.38
2019-12-02 13:14:00,000183,food added,,64.05
2019-12-02 13:15:26,000184,food added,,96.74
2019-12-02 13:15:55,000185,food added,,54.33
2019-12-02 13:15:59,000186,food added,,23.90
2019-12-02 13:17:10,000187,food added,,24.31
2019-12-02 13:17:52,,weight checked,9.916,
2019-12-02 13:18:48,000188,food added,,72.13
2019-12-02 13:22:18,000189,food added,,77.99
2019-12-02 13:22:37,000190,food added,,93.21
2019-12-02 13:22:52,,weight checked,10.208,
2019-12-02 13:23:48,000191,food added,,27.79
2019-12-02 13:25:10,000192,food added,,51.86
2019-12-02 13:26:02,000193,food added,,101.81
2019-12-02 13:27:53,,weight checked,10.434,
2019-12-02 13:27:59,000194,food added,,52.85
2019-12-02 13:29:08,000195,food added,,34.58
2019-12-02 13:31:42,000196,food added,,101.82
2019-12-02 13:32:53,,weight checked,10.637,
2019-12-02 13:34:09,000197,food added,,146.62
2019-12-02 13:35:22,000198,food added,,37.66
2019-12-02 13:35:30,000199,food added,,32.03
2019-12-02 13:36:44,000200,food added,,34.11
2019-12-02 13:37:54,,weight checked,10.977,
2019-12-02 13:39:18,000201,food added,,66.52
2019-12-02 13:41:41,000202,food added,,66.15
2019-12-02 13:42:54,,weight checked,11.120,
2019-12-02 13:46:14,000203,food added,,50.92
2019-12-02 13:47:21,000204,food added,,87.73
2019-12-02 13:47:55,,weight checked,11.283,
2019-12-02 13:51:32,000205,food added,,96.61
2019-12-02 13:52:55,,weight checked,11.367,
2019-12-02 13:56:04,000206,food added,,73.85
2019-12-02 13:57:56,,weight checked,11.421,
2019-12-02 13:59:21,000207,food added,,51.02
2019-12-02 14:02:56,,weight checked,11.485,
2019-12-02 14:06:35,000208,food added,,47.55
2019-12-02 14:07:57,,weight checked,11.541,
2019-12-02 14:12:57,,weight checked,11.553,
2019-12-02 14:13:34,000209,food added,,137.10
2019-12-02 14:17:57,,weight checked,11.703,
2019-12-02 14:19:00,000210,food added,,78.80
2019-12-02 14:22:58,,weight checked,11.794,
2019-12-02 14:27:58,,weight checked,11.806,
2019-12-02 14:31:48,000211,food added,,181.40
2019-12-02 14:31:59,000212,food added,,37.14
