Time (h),Reading (kg),Average (kg),Delta (g)
302.871667,48.8891,48.8887,2.3
302.871678,48.8888,48.8878,-0.2
302.87169,48.8888,48.8871,-1.6
302.871701,48.8880,48.8878,0.1
302.871713,48.8877,48.8891,1.7
302.871725,48.8895,48.8893,1.3
302.871736,48.8896,48.8886,-0.4
302.871748,48.8885,48.8887,-0.3
302.871759,48.8880,48.8888,0.3
302.871771,48.8876,48.8890,0.4
302.871782,48.8873,48.8895,1.0
302.871794,48.8907,48.8897,0.7
302.871806,48.8884,48.8905,1.1
302.871817,48.8896,48.8899,0.3
302.871829,48.8900,48.8888,-1.7
302.87184,48.8897,48.8894,-0.2
302.871852,48.8891,48.8900,0.9
302.871863,48.8924,48.8899,0.2
302.871875,48.8902,48.8900,-0.1
302.871887,48.8892,48.8901,0.2
302.871898,48.8884,48.8895,-0.5
302.87191,48.8892,48.8889,-1.1
302.871921,48.8909,48.8895,0.1
302.871933,48.8921,48.8909,2.2
302.871944,48.8921,48.8907,0.9
302.871956,48.8897,48.8903,-0.7
302.871968,48.8907,48.8899,-0.9
302.871991,48.8909,48.8901,-0.2
302.872002,48.8916,48.8903,0.4
302.872014,48.8912,48.8900,-0.0
302.872025,48.8892,48.8904,0.1
302.872037,48.8923,48.8915,1.4
302.872049,48.8929,48.8920,1.4
302.87206,48.8891,48.8910,-0.9
302.872072,48.8894,48.8904,-1.5
302.872083,48.8932,48.8910,0.3
302.872095,48.8918,48.8912,0.7
302.872106,48.8863,48.8907,-0.3
302.872118,48.8898,48.8906,-0.6
302.87213,48.8912,48.8910,0.5
302.872141,49.0026,48.8998,9.3
302.872153,49.9060,49.1249,234.2
302.872164,49.9181,49.6593,748.0
302.872164,49.9100,49.9048,730.4
302.872176,49.9068,49.9076,200.3
302.872187,49.9099,49.9089,0.1
302.872199,49.9090,49.9080,-0.9
302.872211,49.9058,49.9076,-1.3
302.872222,49.9072,49.9081,0.2
302.872234,49.9064,49.9079,0.2
302.872245,49.9066,49.9083,0.5
302.872257,49.9070,49.9074,-0.6
302.872269,49.9064,49.9072,-0.8
302.87228,49.9062,49.9074,-0.1
302.872292,49.9058,49.9076,0.4
302.872303,49.9096,49.9078,0.6
302.872326,49.9072,49.9086,1.0
302.872338,49.9069,49.9087,0.9
302.87235,49.9060,49.9082,-0.5
302.872361,49.9066,49.9079,-1.0
302.872373,49.9095,49.9087,0.7
302.872384,49.9084,49.9088,0.9
302.872396,49.9091,49.9089,0.2
302.872407,49.9078,49.9089,-0.1
302.872419,49.9100,49.9088,-0.3
302.872431,49.9088,49.9089,0.2
302.872442,49.9096,49.9090,0.1
302.872454,49.9061,49.9090,0.0
302.872465,49.9100,49.9079,-1.1
302.872477,49.9084,49.9078,-0.7
302.872488,49.9093,49.9080,0.3
302.8725,49.9135,49.9097,1.8
302.872512,49.9135,49.9135,5.6
302.872523,49.9119,49.9140,3.8
302.872535,49.9158,49.9139,0.0
302.872546,49.9135,49.9136,-0.4
302.872558,49.9164,49.9146,0.9
302.872569,49.9210,49.9180,4.4
302.872581,49.9245,49.9221,6.7
302.872593,49.9280,49.9245,5.9
302.872604,49.9304,49.9271,4.6
302.872616,49.9367,49.9316,6.5
302.872627,49.9353,49.9346,6.7
302.872639,49.9354,49.9359,3.6
302.87265,49.9361,49.9360,1.2
302.872662,49.9359,49.9360,-0.0
302.872674,49.9357,49.9354,-0.8
302.872685,49.9354,49.9352,-0.4
302.872697,49.9372,49.9361,0.9
302.872708,49.9343,49.9358,0.3
302.87272,49.9433,49.9381,2.0
302.872731,49.9394,49.9416,6.0
302.872743,49.9471,49.9439,5.5
302.872755,49.9522,49.9503,8.2
302.872766,49.9658,49.9607,16.0
302.872778,49.9729,49.9683,17.3
302.872789,49.9733,49.9709,9.0
302.872801,49.9788,49.9763,6.2
302.872813,49.9852,49.9809,8.7
302.872824,49.9910,49.9848,7.7
302.872836,49.9934,49.9900,8.8
302.872847,49.9912,49.9922,6.4
302.872859,49.9919,49.9920,1.4
302.87287,49.9895,49.9912,-0.8
302.872882,49.9929,49.9911,-0.5
302.872894,49.9907,49.9918,0.6
302.872905,49.9905,49.9921,0.8
302.872917,49.9936,49.9926,0.9
302.872928,49.9909,49.9923,0.4
302.87294,49.9991,49.9948,2.5
302.872951,49.9970,49.9971,4.4
302.872963,49.9954,49.9966,1.1
302.872975,49.9980,49.9971,0.1
302.872986,49.9966,49.9975,0.7
302.872998,49.9970,49.9972,0.1
302.873009,50.0043,50.0011,3.7
302.873021,50.0023,50.0047,7.1
302.873032,50.0040,50.0044,2.5
302.873044,50.0055,50.0041,-0.5
302.873056,50.0063,50.0044,-0.0
302.873067,50.0052,50.0048,0.9
302.873079,50.0052,50.0044,-0.1
302.87309,50.0057,50.0046,-0.3
302.873102,50.0079,50.0050,0.4
302.873113,50.0053,50.0056,1.1
302.873125,50.0051,50.0049,-0.2
302.873137,50.0049,50.0048,-0.7
302.873148,50.0040,50.0045,-0.2
302.87316,50.0042,50.0038,-1.0
302.873171,50.0045,50.0037,-0.6
302.873183,50.0048,50.0038,0.0
302.873194,50.0072,50.0049,1.3
302.873206,50.0049,50.0046,0.8
302.873218,50.0057,50.0037,-1.5
302.873229,50.0053,50.0040,-0.6
302.873241,50.0050,50.0038,-0.1
302.873252,50.0059,50.0050,1.1
302.873264,50.0046,50.0048,0.8
302.873275,50.0048,50.0045,-0.5
302.873287,50.0061,50.0048,0.1
302.873299,50.0067,50.0047,0.1
302.87331,50.0070,50.0052,0.5
302.873322,50.0037,50.0050,0.3
302.873333,50.0039,50.0053,-0.0
302.873345,50.0052,50.0057,0.7
302.873356,50.0039,50.0054,0.2
302.873368,50.0057,50.0053,-0.1
302.87338,50.0065,50.0046,-1.1
302.873391,50.0064,50.0054,0.0
302.873403,50.0058,50.0060,1.6
302.873414,50.0054,50.0062,1.0
302.873426,50.0050,50.0051,-1.1
302.873437,50.0054,50.0054,-0.3
302.873449,50.0066,50.0054,0.5
302.873461,50.0058,50.0050,-0.2
302.873472,50.0064,50.0054,0.1
302.873484,50.0045,50.0061,0.7
302.873495,50.0045,50.0058,0.3
302.873507,50.0075,50.0055,-0.7
302.873519,50.0046,50.0055,-0.1
302.87353,50.0041,50.0059,0.6
302.873542,50.0063,50.0063,0.6
302.873553,50.0035,50.0057,-0.3
302.873565,50.0048,50.0055,-0.7
302.873576,50.0060,50.0065,1.0
302.873588,50.0069,50.0064,0.6
302.8736,50.0037,50.0059,-0.7
302.873611,50.0081,50.0060,-0.0
302.873623,50.0067,50.0064,0.5
302.873634,50.0077,50.0065,0.7
302.873646,50.0080,50.0068,0.4
302.873657,50.0065,50.0066,0.3
302.873669,50.0076,50.0063,-0.4
302.873681,50.0041,50.0070,0.3
302.873692,50.0064,50.0069,0.4
302.873704,50.0071,50.0066,-0.4
302.873715,50.0047,50.0073,0.7
302.873727,50.0056,50.0067,0.1
302.873738,50.0056,50.0065,-0.4
302.87375,50.0049,50.0061,-0.5
302.873762,50.0064,50.0069,0.4
302.873773,50.0032,50.0064,0.3
302.873785,50.0039,50.0054,-1.3
302.873796,50.0034,50.0054,-0.7
302.873808,50.0034,50.0051,-0.4
302.873819,50.0074,50.0054,0.2
302.873831,50.0095,50.0068,2.1
302.873843,50.0085,50.0073,1.8
302.873854,50.0063,50.0070,-0.1
302.873866,50.0087,50.0070,0.0
302.873877,50.0038,50.0066,-0.5
302.873889,50.0088,50.0064,-0.6
302.8739,50.0070,50.0065,-0.0
302.873912,50.0054,50.0068,0.2
302.873924,50.0068,50.0071,0.3
302.873935,50.0083,50.0070,0.3
302.873947,50.0059,50.0080,0.9
302.873958,50.0085,50.0080,0.9
302.87397,50.0049,50.0071,-0.6
302.873981,50.0080,50.0065,-1.2
302.873993,50.0060,50.0066,-0.5
302.874005,50.0100,50.0070,0.5
302.874016,50.0080,50.0070,0.6
302.874028,50.0092,50.0073,0.3
302.874039,50.0100,50.0080,1.1
302.874051,50.0091,50.0080,0.9
302.874062,50.0062,50.0074,-0.5
302.874074,50.0053,50.0075,-0.8
302.874086,50.0058,50.0078,0.1
302.874097,50.0087,50.0078,0.3
302.874109,50.0076,50.0086,1.0
302.87412,50.0092,50.0079,-0.0
302.874132,50.0092,50.0084,0.3
302.874144,50.0084,50.0080,-0.1
302.874155,50.0083,50.0071,-1.5
302.874167,50.0071,50.0075,-0.5
302.874178,50.0078,50.0074,0.1
302.87419,50.0074,50.0072,-0.3
302.874201,50.0096,50.0071,-0.0
302.874213,50.0102,50.0083,1.5
302.874225,50.0063,50.0086,1.2
302.874236,50.0066,50.0080,-0.2
302.874248,50.0093,50.0074,-1.0
302.874259,50.0068,50.0076,-0.3
302.874271,50.0074,50.0084,1.0
302.874282,50.0101,50.0087,1.2
302.874294,50.0084,50.0085,0.4
302.874306,50.0085,50.0081,-0.5
302.874317,50.0073,50.0076,-0.7
302.874329,50.0060,50.0076,-0.2
302.87434,50.0074,50.0071,-0.6
302.874352,50.0090,50.0074,-0.2
302.874363,50.0070,50.0080,1.0
302.874375,50.0081,50.0078,0.2
302.874387,50.0105,50.0085,0.8
302.874398,50.0077,50.0083,0.4
302.87441,50.0106,50.0080,-0.5
302.874421,50.0071,50.0078,-0.1
302.874433,50.0055,50.0073,-0.8
302.874444,50.0080,50.0082,0.3
302.874456,50.0074,50.0082,0.8
302.874468,50.0086,50.0082,0.1
302.874479,50.0080,50.0083,0.2
302.874491,50.0049,50.0078,-0.6
302.874502,50.0068,50.0079,-0.3
302.874514,50.0092,50.0079,0.2
302.874525,50.0085,50.0083,0.5
302.874537,50.0084,50.0082,0.0
302.874549,50.0066,50.0080,-0.2
302.87456,50.0089,50.0082,0.2
302.874572,50.0081,50.0090,1.0
302.874583,50.0084,50.0089,0.8
302.874595,50.0082,50.0088,-0.3
302.874606,50.0081,50.0088,-0.2
302.874618,50.0100,50.0090,0.2
302.87463,50.0092,50.0093,0.6
302.874641,50.0066,50.0089,-0.3
302.874653,50.0095,50.0089,-0.4
302.874664,50.0072,50.0093,0.6
302.874676,50.0080,50.0086,-0.5
302.874687,50.0072,50.0085,-0.7
302.874699,50.0099,50.0084,0.0
302.874711,50.0109,50.0089,0.4
302.874722,50.0092,50.0093,0.9
302.874734,50.0092,50.0087,-0.3
302.874745,50.0093,50.0082,-0.9
302.874757,50.0092,50.0086,0.0
302.874769,50.0091,50.0091,0.8
302.87478,50.0094,50.0094,0.4
302.874792,50.0085,50.0092,0.1
302.874803,50.0075,50.0087,-0.6
