Time,ID,Grade,A,B,C,D,F,N
2020-03-09 12:14:46,000159,C,0.00,0.07,0.75,0.17,0.02,0.00
2020-03-09 12:21:12,000160,C,0.00,0.00,0.96,0.04,0.00,0.00
2020-03-09 12:22:01,000161,C,0.00,0.09,0.91,0.01,0.00,0.00
2020-03-09 12:25:23,000162,C,0.05,0.47,0.48,0.01,0.00,0.00
2020-03-09 12:26:39,000163,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-09 12:26:56,000164,N,0.01,0.00,0.00,0.00,0.00,0.99
2020-03-09 12:27:32,000165,N,0.06,0.00,0.00,0.01,0.01,0.92
2020-03-09 12:28:27,000166,B,0.20,0.71,0.06,0.02,0.00,0.00
2020-03-09 12:30:08,000167,B,0.17,0.78,0.04,0.00,0.00,0.00
2020-03-09 12:30:37,000168,C,0.00,0.03,0.49,0.47,0.01,0.00
2020-03-09 12:33:31,000169,C,0.00,0.44,0.51,0.04,0.00,0.00
2020-03-09 12:33:50,000170,B,0.04,0.95,0.01,0.00,0.00,0.00
2020-03-09 12:35:15,000171,B,0.26,0.67,0.06,0.01,0.00,0.00
2020-03-09 12:35:18,000172,C,0.00,0.07,0.91,0.03,0.00,0.00
2020-03-09 12:38:00,000173,B,0.02,0.63,0.31,0.02,0.00,0.02
2020-03-09 12:40:57,000174,B,0.27,0.54,0.13,0.04,0.01,0.01
2020-03-09 12:41:21,000175,A,0.96,0.02,0.00,0.00,0.00,0.01
2020-03-09 12:42:03,000176,C,0.00,0.02,0.96,0.01,0.00,0.00
2020-03-09 12:42:22,000177,A,0.75,0.17,0.02,0.00,0.00,0.05
2020-03-09 12:42:49,000178,C,0.02,0.43,0.54,0.01,0.00,0.00
2020-03-09 12:43:37,000179,B,0.32,0.63,0.04,0.00,0.00,0.00
2020-03-09 12:44:41,000180,B,0.01,0.68,0.31,0.00,0.00,0.00
2020-03-09 12:45:41,000181,B,0.00,0.62,0.27,0.10,0.00,0.00
2020-03-09 12:45:58,000182,A,0.75,0.20,0.03,0.01,0.00,0.00
2020-03-09 12:47:10,000183,A,0.65,0.27,0.04,0.02,0.00,0.02
2020-03-09 12:47:58,000184,A,0.70,0.27,0.01,0.01,0.00,0.00
2020-03-09 12:49:04,000185,C,0.00,0.06,0.88,0.06,0.00,0.00
2020-03-09 12:49:51,000186,C,0.00,0.00,0.98,0.01,0.00,0.00
2020-03-09 12:50:02,000187,B,0.07,0.84,0.06,0.02,0.00,0.00
2020-03-09 12:50:27,000188,B,0.11,0.84,0.03,0.01,0.01,0.00
2020-03-09 12:51:34,000189,C,0.00,0.09,0.89,0.02,0.00,0.00
2020-03-09 12:52:32,000190,B,0.06,0.89,0.04,0.00,0.00,0.00
2020-03-09 12:55:53,000191,B,0.09,0.91,0.00,0.00,0.00,0.00
2020-03-09 12:58:05,000192,D,0.00,0.00,0.03,0.91,0.06,0.00
2020-03-09 12:58:10,000193,C,0.00,0.01,0.53,0.44,0.02,0.00
2020-03-09 12:58:16,000194,B,0.00,0.82,0.09,0.08,0.00,0.00
2020-03-09 13:00:01,000195,B,0.19,0.52,0.22,0.03,0.03,0.00
2020-03-09 13:00:10,000196,A,0.91,0.07,0.02,0.00,0.00,0.01
2020-03-09 13:00:28,000197,B,0.06,0.80,0.10,0.03,0.01,0.00
2020-03-09 13:01:04,000198,D,0.17,0.09,0.22,0.46,0.03,0.05
2020-03-09 13:01:17,000199,A,0.54,0.42,0.02,0.01,0.01,0.00
2020-03-09 13:01:20,000200,A,0.88,0.06,0.00,0.03,0.00,0.03
2020-03-09 13:07:48,000201,B,0.00,0.92,0.07,0.00,0.00,0.00
2020-03-09 13:08:12,000202,C,0.00,0.48,0.50,0.02,0.00,0.00
2020-03-09 13:08:42,000203,A,0.68,0.31,0.00,0.00,0.00,0.00
2020-03-09 13:08:46,000204,A,0.99,0.01,0.01,0.00,0.00,0.00
2020-03-09 13:10:08,000205,D,0.00,0.04,0.40,0.55,0.01,0.00
2020-03-09 13:12:43,000206,C,0.00,0.08,0.82,0.09,0.01,0.00
2020-03-09 13:14:22,000207,C,0.08,0.25,0.50,0.14,0.01,0.02
2020-03-09 13:16:02,000208,A,0.49,0.29,0.06,0.06,0.02,0.08
2020-03-09 13:19:01,000209,C,0.00,0.09,0.58,0.32,0.00,0.00
2020-03-09 13:19:36,000210,B,0.20,0.58,0.21,0.01,0.00,0.00
2020-03-09 13:20:02,000211,B,0.11,0.75,0.08,0.05,0.00,0.00
2020-03-09 13:20:07,000212,D,0.00,0.00,0.03,0.78,0.19,0.00
2020-03-09 13:20:38,000213,B,0.00,0.99,0.01,0.00,0.00,0.00
2020-03-09 13:20:42,000214,N,0.10,0.02,0.00,0.01,0.00,0.86
