Time,ID,Grade,A,B,C,D,F,N
2020-02-25 23:20:02,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 23:20:10,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:20:58,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:21:02,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:21:12,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:21:14,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:21:16,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:24:37,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:31:38,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 23:33:10,test,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 23:33:37,test,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:33:41,test,F,0.16,0.03,0.12,0.04,0.63,0.02
2020-02-25 23:33:44,test,B,0.10,0.89,0.01,0.00,0.00,0.00
2020-02-25 23:33:47,test,B,0.03,0.87,0.09,0.01,0.01,0.00
2020-02-25 23:33:51,test,B,0.03,0.77,0.11,0.07,0.01,0.00
2020-02-25 23:35:28,test_000112,B,0.03,0.77,0.11,0.07,0.01,0.00
2020-02-25 23:35:42,test_000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:35:45,test_000109,F,0.16,0.03,0.12,0.04,0.63,0.02
2020-02-25 23:36:36,Set_1_000109,F,0.16,0.03,0.12,0.04,0.63,0.02
