Time,ID,Action,Weight (kg),Weight (g)
2019-11-24 19:05:21,000145,food added,,35.31
2019-11-24 19:09:31,,weight checked,-0.719,
2019-11-24 19:14:31,,weight checked,-0.717,
2019-11-24 19:19:30,,weight checked,-0.730,
2019-11-24 19:24:29,,weight checked,-0.758,
2019-11-24 19:29:29,,weight checked,-0.783,
2019-11-24 19:34:28,,weight checked,-0.805,
2019-11-24 19:39:28,,weight checked,-0.829,
2019-11-24 19:44:27,,weight checked,-0.850,
2019-11-24 19:49:27,,weight checked,-0.869,
2019-11-24 19:54:26,,weight checked,-0.893,
2019-11-24 19:59:25,,weight checked,-0.916,
2019-11-24 20:04:25,,weight checked,-0.941,
2019-11-24 20:09:24,,weight checked,-0.973,
2019-11-24 20:14:23,,weight checked,-1.014,
2019-11-24 20:19:23,,weight checked,-1.065,
2019-11-24 20:24:22,,weight checked,-1.108,
2019-11-24 20:29:22,,weight checked,-1.157,
2019-11-24 20:34:21,,weight checked,-1.190,
2019-11-24 20:39:20,,weight checked,-1.216,
2019-11-24 20:44:20,,weight checked,-1.239,
2019-11-24 20:49:19,,weight checked,-1.256,
2019-11-24 20:54:19,,weight checked,-1.268,
2019-11-24 20:59:18,,weight checked,-1.278,
